caseid,complete_stat,is_volenteer,dh1gage,sex,marrige_stat,living_stat,province,vol_times,vol_fre,vol_time,is_work,is_workalone,gavin_times,gavin_sum,emp_stat,degree,is_citizens,is_school,is_immigration,happiness
1,Complete,Not a volunteer but a giver,65 years and over,Female,Married,Spouse only,British Columbia,"NA",Valid skip,"NA",No,Valid skip,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very dissatisfied
2,Complete,Volunteer and giver,45-54 years,Male,Married,Spouse and single/non-single child(ren),Quebec,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
3,Complete,Volunteer and giver,65 years and over,Male,Widowed,Alone,Manitoba,"NA",At least once a month,"NA",No,Valid skip,"NA","NA",Not in labour force,University Diploma,Canadian citizen by birth only,No,Valid skip,"NA"
4,Complete,Volunteer and giver,65 years and over,Male,Widowed,Alone,Newfoundland and Labrador,"NA",At least once a month,"NA",Yes,Yes,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
5,Complete,Not a volunteer but a giver,35-44 years,Female,Married,Spouse only,British Columbia,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,University Diploma,Canadian citizen by birth only,No,Valid skip,Very satisfied
6,Partial,Not a volunteer but a giver,35-44 years,Male,Separated,Living with one or two parents,Newfoundland and Labrador,"NA",Valid skip,"NA",Yes,No,"NA","NA",Unable to determine,Not stated,Undetermined,Not stated,Not stated,"NA"
7,Complete,Volunteer and giver,65 years and over,Male,Married,Spouse only,Manitoba,"NA",Once or twice (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,"NA"
8,Complete,Not a volunteer but a giver,25-34 years,Female,Living common-law,Spouse only,Quebec,"NA",Valid skip,"NA",Yes,No,"NA","NA",Employed,Graduated from High school,Canadian citizen by birth only,No,Valid skip,Very satisfied
9,Complete,Not a volunteer but a giver,65 years and over,Female,Separated,Alone,Newfoundland and Labrador,"NA",Valid skip,"NA",Yes,No,"NA","NA",Not in labour force,Less than High School,Canadian citizen by birth only,No,Valid skip,Very satisfied
10,Complete,Volunteer and giver,35-44 years,Female,Married,Spouse and single/non-single child(ren),Ontario,"NA",At least 3 or 4 times (in the past 12 months),"NA",Yes,No,"NA","NA",Employed,Post-secondary diploma,Canadian citizen by birth only,No,Valid skip,"NA"
