caseid,age_5,age_10,gender,marital,how_often_rushed,health,mental_health,annual_income,household_income
1,50 to 54,45 to 54,Female,Married,... every day?,... very good?,... very good?,"$80,000 to $99,999","$150,000 or more"
2,40 to 44,35 to 44,Male,Married,... every day?,... good?,... excellent?,"$20,000 to $29,999","$40,000 to $49,999"
3,45 to 49,45 to 54,Male,Single (Never married),... about once a week?,... fair?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
4,50 to 54,45 to 54,Male,Single (Never married),... a few times a week?,... very good?,... excellent?,"$80,000 to $99,999","$80,000 to $99,999"
5,65 to 69,65 to 74,Male,Married,... a few times a week?,... good?,... excellent?,"$60,000 to $79,999","$100,000 to $149,999"
6,40 to 44,35 to 44,Male,Married,... a few times a week?,... very good?,... excellent?,"$60,000 to $79,999","$80,000 to $99,999"
7,40 to 44,35 to 44,Female,Living common-law,... every day?,... very good?,... good?,"$20,000 to $29,999","$50,000 to $59,999"
8,15 to 17,15 to 24,Female,Single (Never married),... a few times a week?,... very good?,... excellent?,"Less than $5,000",Don't know
9,65 to 69,65 to 74,Male,Married,... a few times a week?,... good?,... good?,"$40,000 to $49,999","$80,000 to $99,999"
10,60 to 64,55 to 64,Female,Married,... every day?,... excellent?,... very good?,"$60,000 to $79,999","$150,000 or more"
11,25 to 29,25 to 34,Male,Single (Never married),... about once a week?,... very good?,... very good?,"$60,000 to $79,999","$60,000 to $79,999"
12,40 to 44,35 to 44,Female,Married,... every day?,... very good?,... good?,"$60,000 to $79,999","$100,000 to $149,999"
13,60 to 64,55 to 64,Female,Married,... a few times a week?,... very good?,... very good?,Don't know,Don't know
14,70 to 74,65 to 74,Female,Separated,... less than once a month?,... very good?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
15,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... good?,... good?,"Less than $5,000",Don't know
16,40 to 44,35 to 44,Male,Married,... a few times a week?,... very good?,... very good?,Not stated,Not stated
17,50 to 54,45 to 54,Male,Married,... about once a week?,... very good?,... good?,"$40,000 to $49,999","$50,000 to $59,999"
18,45 to 49,45 to 54,Male,Separated,... about once a month?,... fair?,... excellent?,"$40,000 to $49,999","$40,000 to $49,999"
19,40 to 44,35 to 44,Female,Separated,... every day?,... good?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
